code,name,verdict,match_basis,db_id,db_name,matched_name
15063,Nem rán,keep-no-match,none,,,
15068,Thịt xiên nướng,keep-no-match,none,,,
15069,Xôi đỗ xanh,keep-no-match,none,,,
15070,Xôi gấc,keep-no-match,none,,,
15071,Xôi lạc,keep-no-match,none,,,
15072,Xôi ngô,keep-no-match,none,,,
15073,Xôi xéo,keep-no-match,none,,,
15077,Bánh dày,keep-no-match,none,,,
15078,Xôi đỗ đen,keep-no-match,none,,,
2001,"Củ ấu, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2001_raw,Củ ấu,Củ ấu
2002,"Củ cái, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2002_raw,Củ cái,Củ cái
2003,"Củ dong, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2003_raw,Củ dong,Củ dong
2003002,Củ dong luộc,keep-no-match,none,,,
2004,"Củ sắn, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2004_raw,Củ sắn,Củ sắn
2004014,Củ sắn nướng,keep-no-match,none,,,
2005,"Củ sắn dây, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2005_raw,Củ sắn dây,Củ sắn dây
2005002,"Củ sắn dây, luộc",keep-no-match,none,,,
2006,"Củ súng, bóc vỏ, khô",keep-no-match,none,,,
2007,"Củ từ, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2007_raw,Củ từ,Củ từ
2007002,Củ từ luộc,keep-usda-only,name,usda_11701_cooked,"Mũi tên, luộc chín, để ráo nước, thêm muối.",củ từ luộc
2008,"Khoai lang, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2008_raw,Khoai lang,Khoai lang
2008002,"Khoai lang, luộc",keep-usda-only,name,usda_11510_cooked,"Khoai lang luộc, không vỏ.",khoai lang luộc
2008014,"Khoai lang, nướng ",keep-usda-only,name,usda_11508_cooked,"Khoai lang, nấu chín, nướng cả vỏ, phần thịt, không muối",khoai lang nướng
2009,"Khoai lang nghệ, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2009_raw,Khoai lang nghệ,Khoai lang nghệ
2010,"Khoai môn, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2010_raw,Khoai môn,Khoai môn
2011,"Khoai nước, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2011_raw,Khoai nước,Khoai nước
2012,"Khoai riềng, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2012_raw,Khoai riềng,Khoai riềng
2012002,Khoai riềng luộc,keep-no-match,none,,,
2013,"Khoai sọ, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2013_raw,Khoai sọ,Khoai sọ
2013002,"Khoai sọ, luộc",keep-usda-only,name,usda_11519_cooked,"Khoai môn, đã nấu chín, không thêm muối.",khoai sọ luộc
2014,"Khoai tây, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_2014_raw,Khoai tây,Khoai tây
2014002,"Khoai tây, luộc",keep-usda-only,name,usda_11365_cooked,"Khoai tây luộc, nấu cả vỏ, phần thịt, không thêm muối.",khoai tây luộc
2015,"Miến dong, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_2015_raw,Miến dong,Miến dong
2016,Bột dong lọc,duplicate-vietnamese,name,fao_vn_2007_2016_raw,Bột dong lọc,Bột dong lọc
2017,Bột khoai lang,duplicate-vietnamese,name,fao_vn_2007_2017_raw,Bột khoai lang,Bột khoai lang
2018,Bột khoai riềng (bột đao),duplicate-vietnamese,name,fao_vn_2007_2018_raw,Bột khoai riềng (bột đao),Bột khoai riềng (bột đao)
2019,Bột khoai tây (lọc),duplicate-vietnamese,name,fao_vn_2007_2019_raw,Bột khoai tây (lọc),Bột khoai tây (lọc)
2020,Bột sắn,duplicate-vietnamese,name,fao_vn_2007_2020_raw,Bột sắn,Bột sắn
2022,"Khoai lang, khô",duplicate-vietnamese,name,fao_vn_2007_2022_raw,Khoai lang khô,Khoai lang khô
2023,"Khoai tây, khô",duplicate-vietnamese,name,fao_vn_2007_2023_raw,Khoai tây khô,Khoai tây khô
2024,"Khoai tây lát, chiên",duplicate-vietnamese,name,fao_vn_2007_2024_raw,Khoai tây lát chiên,Khoai tây lát chiên
2025,"Sắn, củ, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_2025_raw,Sắn khô,Sắn khô
2026,Trân châu sắn,duplicate-vietnamese,name,fao_vn_2007_2026_raw,Trân châu sắn,Trân châu sắn
2026002,Trân châu sắn luộc ,keep-no-match,none,,,
3001,"Cùi dừa già, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_3001_raw,Cùi dừa già,Cùi dừa già
3002,"Cùi dừa non, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_3002_raw,Cùi dừa non,Cùi dừa non
3003,"Đậu cô ve, hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3003_raw,Đậu cô ve (hạt),Đậu cô ve (hạt)
3004,"Đậu đen, hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3004_raw,Đậu đen (hạt),Đậu đen (hạt)
3005,"Đậu đũa, hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3005_raw,Đậu đũa (hạt),Đậu đũa (hạt)
3006,"Đậu Hà lan, hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3006_raw,Đậu Hà lan (hạt),Đậu Hà lan (hạt)
3007,"Đậu tương, đậu nành, hạt khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3007_raw,Đậu tương (đậu nành),Đậu tương (đậu nành)
3008,"Đậu trắng (đậu tây), hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3008_raw,Đậu trắng hạt (Đậu Tây),Đậu trắng hạt (Đậu Tây)
3009,"Đậu trứng cuốc, hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3009_raw,Đậu trứng cuốc,Đậu trứng cuốc
3010,"Đậu xanh (đậu tắt), hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3010_raw,Đậu xanh (đậu tắt),Đậu xanh (đậu tắt)
3011,"Hạt dẻ to, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3011_raw,Hạt dẻ to,Hạt dẻ to
3012,"Hạt dẻ to, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_3012_raw,Hạt dẻ tươi,Hạt dẻ tươi
3013,"Hạt dẻ, khô",duplicate-vietnamese,name,fao_vn_2007_3013_raw,Hạt dẻ khô,Hạt dẻ khô
3014,"Hạt đen, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3014_raw,Hạt đen,Hạt đen
3015,"Hạt điều, khô ",duplicate-vietnamese,code-lineage,fao_vn_2007_3015_raw,Hạt điều,Hạt điều
3016,"Hạt mít, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_3016_raw,Hạt mít,Hạt mít
3017,"Lạc hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3017_raw,Lạc hạt,Lạc hạt
3018,"Quả cọ, tươi",duplicate-vietnamese,name,fao_vn_2007_3018_raw,Quả cọ tươi,Quả cọ tươi
3019,"Quả đại hái, tươi",duplicate-vietnamese,name,fao_vn_2007_3019_raw,Quả đại hái tươi,Quả đại hái tươi
3020,"Vừng (đen, trắng), hạt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_3020_raw,"Vừng (đen, trắng)","Vừng (đen, trắng)"
3020011,Vừng rang,keep-usda-only,name,usda_12024_cooked,"Hạt mè, hạt nguyên, rang và nướng.",vừng rang
3021,"Bột đậu tương, đã loại béo",duplicate-vietnamese,code-lineage,fao_vn_2007_3021_raw,Bột đậu tương đã loại béo (đậu nành),Bột đậu tương đã loại béo (đậu nành)
3022,"Bột đậu tương, rang chín",duplicate-vietnamese,name,fao_vn_2007_3022_cooked,Bột đậu tương rang chín,Bột đậu tương rang chín
3023,Bột đậu xanh,duplicate-vietnamese,name,fao_vn_2007_3023_raw,Bột đậu xanh,Bột đậu xanh
3024,Bột lạc,duplicate-vietnamese,name,fao_vn_2007_3024_raw,Bột lạc,Bột lạc
3025,"Đậu phụ, sống",duplicate-vietnamese,code-lineage,fao_vn_2007_3025_raw,Đậu phụ,Đậu phụ
3025002,Đậu phụ luộc,keep-no-match,none,,,
3026,"Đậu phụ chúc, sống",duplicate-vietnamese,code-lineage,fao_vn_2007_3026_raw,Đậu phụ chúc,Đậu phụ chúc
3027,"Đậu phụ, nướng",duplicate-vietnamese,name,fao_vn_2007_3027_cooked,Đậu phụ nướng,Đậu phụ nướng
3028,"Hạt bí đỏ, rang",duplicate-vietnamese,name,fao_vn_2007_3028_cooked,Hạt bí đỏ rang,Hạt bí đỏ rang
3029,"Hạt dưa hấu, rang",duplicate-vietnamese,code-lineage,fao_vn_2007_3029_cooked,Hạt dưa đỏ rang (dưa hấu),Hạt dưa đỏ rang (dưa hấu)
3030,"Hạt điều khô, chiên dầu",duplicate-vietnamese,name,fao_vn_2007_3030_raw,"Hạt điều khô, chiên dầu","Hạt điều khô, chiên dầu"
3031,Sữa bột đậu nành,duplicate-vietnamese,name,fao_vn_2007_3031_cooked,Sữa bột đậu nành,Sữa bột đậu nành
3032,Sữa đậu nành (100g đậu/lít),duplicate-vietnamese,name,fao_vn_2007_3032_raw,Sữa đậu nành (100g đậu/lít),Sữa đậu nành (100g đậu/lít)
3033,Tào phớ,duplicate-vietnamese,name,fao_vn_2007_3033_raw,Tào phớ,Tào phớ
3036002,Đậu ngự luộc,keep-usda-only,name,usda_11714_cooked,"Đậu lima, hạt non, luộc chín, để ráo nước, thêm muối.",đậu ngự luộc
3037002,Đậu ván luộc,keep-usda-only,name,usda_11788_cooked,"Đậu hyacinth, hạt non, nấu chín, luộc, để ráo nước, thêm muối.",đậu ván luộc
3038,Đậu phụ non Tứ Xuyên,keep-no-match,none,,,
3039002,Hạt sen tươi luộc,keep-no-match,none,,,
3041011,Hạt hướng dương rang,keep-usda-only,name,usda_12038_cooked,"Hạt hướng dương, nhân hạt, rang dầu, không muối.",hạt hướng dương rang
3042011,Hạt hạnh nhân rang,keep-no-match,none,,,
3043011,Hạt óc chó rang,keep-no-match,none,,,
3044011,Hạt macca rang,keep-no-match,none,,,
3046011,Hạt dẻ cười rang,keep-usda-only,name,usda_12152_cooked,"Các loại hạt, hạt dẻ cười, rang khô, không thêm muối.",hạt dẻ cười rang
4001,"Quả bầu, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4001_raw,Bầu,Bầu
4001002,"Bầu, luộc",keep-usda-only,name,usda_11219_cooked,"Bí ngòi hoa trắng (bí bầu), luộc chín, để ráo nước, không thêm muối.",bầu luộc
4002,"Quả bí đao (bí xanh), tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4002_raw,Bí đao (bí xanh),Bí đao (bí xanh)
4002002,"Bí đao (bí xanh), luộc",keep-no-match,none,,,
4003,"Quả bí ngô, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4003_raw,Bí ngô,Bí ngô
4003002,"Bí ngô, luộc",keep-usda-only,name,usda_11423_cooked,"Bí ngô, đã nấu chín, luộc, để ráo nước, không thêm muối.",bí ngô luộc
4004,"Quả cà bát, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4004_raw,Cà bát,Cà bát
4004002,"Cà bát, luộc",keep-no-match,none,,,
